1	Allied Reparation Commission
2	Allied Reparation Commission	Chairman
3	Argentina
4	Argentina	Buenos Aires
5	Argentina	Buenos Aires	Institute for Biochemical Research
6	Argentina	Buenos Aires	Instituto de Biologia y Medicina Experimental
7	Argentina	Secretary of State
8	Australia
9	Australia	Canberra
10	Australia	Canberra	Australian National University
11	Australia	Melbourne
12	Australia	Melbourne	Walter and Eliza Hall Institute for Medical Research
13	Austria
14	Austria	Graz
15	Austria	Graz	Graz University
16	Austria	Innsbruck
17	Austria	Innsbruck	Innsbruck University
18	Austria	Institut für vergleichende Verhaltensforschung
19	Austria	Institut für vergleichende Verhaltensforschung	Österreichische Akademie der Wissenschaften
20	Austria	Vienna
21	Austria	Vienna	Vienna University
22	Belgium
23	Belgium	Brussels
24	Belgium	Brussels	Brussels University
25	Belgium	Brussels	Université Libre de Bruxelles
26	Belgium	Ghent
27	Belgium	Ghent	Ghent University
28	Belgium	Louvain
29	Belgium	Louvain	Université Catholique de Louvain
30	Belgium	Member of Parliament
31	Belgium	ex-Prime Minister
32	Berlin University
33	Berlin University	Professor
34	Briand-Kellogg Pact
35	Briand-Kellogg Pact	Part-originator
36	Briand-Kellogg Pact	Promoter
37	Brussels
38	Brussels	Inter-Parliamentary Union
39	Brussels	Inter-Parliamentary Union	Secretary General
40	Canada
41	Canada	Ontario
42	Canada	Ontario	Ottawa
43	Canada	Ontario	Ottawa	National Research Council of Canada
44	Canada	Ontario	Toronto
45	Canada	Ontario	Toronto	University of Toronto
46	Canada	Pugwash
47	Canada	former Secretary of State for External Affairs
48	Committee for the Defense of National Interests and International Conciliation
49	Committee for the Defense of National Interests and International Conciliation	Founder
50	Conseil national économique
51	Conseil national économique	President
52	Costa Rica
53	Costa Rica	President
54	Council of I.L.O.
55	Council of I.L.O.	Member
56	Cour Internationale d'arbitrage at the Hague
57	Cour Internationale d'arbitrage at the Hague	Member
58	Czechoslovakia
59	Czechoslovakia	Prague
60	Czechoslovakia	Prague	Czechoslovak Academy of Science
61	Czechoslovakia	Prague	Czechoslovak Academy of Science	Polarographic Institute
62	Dawes Plan
63	Dawes Plan	Originator
64	Denmark
65	Denmark	Aarhus
66	Denmark	Aarhus	Aarhus University
67	Denmark	Copenhagen
68	Denmark	Copenhagen	Copenhagen University
69	Denmark	Copenhagen	Finsen Medical Light Institute
70	Denmark	Copenhagen	Niels Bohr Institute
71	Denmark	Copenhagen	Nordita
72	Denmark	Copenhagen	Polytechnic Institute
73	Denmark	Member of Parliament
74	Die Friedenswarte
75	Die Friedenswarte	Founder
76	Disarmament Conference in 1932
77	Disarmament Conference in 1932	President
78	Dominican Order
79	Dominican Order	Father
80	Egypt
81	Egypt	President
82	European Court for Human Rights
83	European Court for Human Rights	President
84	Executive Committee of the PLO
85	Executive Committee of the PLO	Chairman
86	Federal Republic of Germany
87	Federal Republic of Germany	Bad Kreuznach
88	Federal Republic of Germany	Berlin
89	Federal Republic of Germany	Berlin	Fritz-Haber-Institut der Max-Planck-Gesellschaft
90	Federal Republic of Germany	Bonn
91	Federal Republic of Germany	Bonn	Rheinische Friedrich-Wilhelms-Universität
92	Federal Republic of Germany	Bonn	University of Bonn
93	Federal Republic of Germany	Breisgau
94	Federal Republic of Germany	Breisgau	Freiburg
95	Federal Republic of Germany	Breisgau	Freiburg	Staatliches Institut für makromolekulare Chemie
96	Federal Republic of Germany	Breisgau	Freiburg	University of Freiburg
97	Federal Republic of Germany	Chancellor
98	Federal Republic of Germany	Cologne
99	Federal Republic of Germany	Cologne	Cologne University
100	Federal Republic of Germany	Frankfurt-on-the-Main
101	Federal Republic of Germany	Frankfurt-on-the-Main	Max-Planck-Institut für Biophysik
102	Federal Republic of Germany	Goettingen
103	Federal Republic of Germany	Goettingen	Max-Planck-Institut für Biophysikalische Chemie
104	Federal Republic of Germany	Goettingen	Max-Planck-Institut für Physikalische Chemie
105	Federal Republic of Germany	Heidelberg
106	Federal Republic of Germany	Heidelberg	Max-Planck-Institut für medizinische Forschung
107	Federal Republic of Germany	Heidelberg	University of Heidelberg
108	Federal Republic of Germany	Kiel
109	Federal Republic of Germany	Kiel	Kiel University
110	Federal Republic of Germany	Mainz
111	Federal Republic of Germany	Mainz	Mainz University
112	Federal Republic of Germany	Mainz	Max-Planck-Institut für Chemie
113	Federal Republic of Germany	Martinsried
114	Federal Republic of Germany	Martinsried	Max-Planck-Institut für Biochemie
115	Federal Republic of Germany	Munich
116	Federal Republic of Germany	Munich	Max-Planck-Institut für Zellchemie
117	Federal Republic of Germany	Munich	Technical University
118	Federal Republic of Germany	Munich	Zoologisches Institut der Universität München
119	Federal Republic of Germany	Mülheim/Ruhr
120	Federal Republic of Germany	Mülheim/Ruhr	Max-Planck-Institut für Kohlenforschung
121	Federal Republic of Germany	Stuttgart
122	Federal Republic of Germany	Stuttgart	Max-Planck-Institut für Festkörperforschung
123	Federal Republic of Germany	Tübingen
124	Federal Republic of Germany	Tübingen	Max-Planck-Institut für Entwicklungsbiologie
125	Finland
126	Finland	Helsinki
127	Finland	Helsinki	Helsinki University
128	France
129	France	Foreign Minister
130	France	Grenoble
131	France	Grenoble	University of Grenoble
132	France	Member of Parliament
133	France	Nancy
134	France	Nancy	Nancy University
135	France	Paris
136	France	Paris	Collège de France
137	France	Paris	Institut Pasteur
138	France	Paris	Institut du Radium
139	France	Paris	Laboratoire Immuno-Hématologie
140	France	Paris	Laboratoire Immuno-Hématologie	Université de Paris
141	France	Paris	Sorbonne University
142	France	Paris	Sorbonne University	Former Professor
143	France	Paris	Sorbonne University	Institut Henri Poincaré
144	France	Paris	École Nationale Supérieur des Mines de Paris
145	France	Paris	École Normale Supérieure
146	France	Paris	École Polytechnique
147	France	Paris	École Supérieure de Physique et Chimie
148	France	Paris	École municipale de physique et de chimie industrielles
149	France	Strasbourg
150	France	Strasbourg	Université Louis Pasteur
151	France	Sèvres
152	France	Sèvres	Bureau International des Poids et Mesures
153	France	Toulouse
154	France	Toulouse	Toulouse University
155	France	i.a. ex-Secretary of State
156	French Parliament
157	French Parliament	President
158	French parliamentary group for voluntary arbitration
159	French parliamentary group for voluntary arbitration	Founder and President
160	Fédération syndicale mondiale
161	Fédération syndicale mondiale	Vice President
162	General Food and Agricultural Organization
163	General Food and Agricultural Organization	Prominent organizer and Director
164	Geneva Convention
165	Geneva Convention	Originator
166	Germany
167	Germany	Alsace
168	Germany	Alsace	Strasbourg
169	Germany	Alsace	Strasbourg	Strasbourg University
170	Germany	Berlin
171	Germany	Berlin	Berlin University
172	Germany	Berlin	Institute for Infectious Diseases
173	Germany	Berlin	Kaiser-Wilhelm-Institut  für Physik
174	Germany	Berlin	Landwirtschaftliche Hochschule
175	Germany	Berlin-Dahlem
176	Germany	Berlin-Dahlem	Kaiser-Wilhelm-Institut  für Biochemie
177	Germany	Berlin-Dahlem	Kaiser-Wilhelm-Institut  für Biologie
178	Germany	Berlin-Dahlem	Kaiser-Wilhelm-Institut  für Chemie
179	Germany	Berlin-Dahlem	Kaiser-Wilhelm-Institut  für physikalische Chemie und Electrochemie
180	Germany	Breisgau
181	Germany	Breisgau	University of Freiburg im Breisgau
182	Germany	Foreign Minister
183	Germany	Frankfurt-on-the-Main
184	Germany	Frankfurt-on-the-Main	Frankfurt-on-the-Main University
185	Germany	Frankfurt-on-the-Main	Königliches Institut für experimentelle Therapie
186	Germany	Goettingen
187	Germany	Goettingen	Goettingen University
188	Germany	Greifswald
189	Germany	Greifswald	Greifswald University
190	Germany	Halle
191	Germany	Halle	Halle University
192	Germany	Heidelberg
193	Germany	Heidelberg	I.G. Farbenindustrie A.G.
194	Germany	Heidelberg	Kaiser-Wilhelm-Institut  für Medizinische Forschung
195	Germany	Heidelberg	University of Heidelberg
196	Germany	Kiel
197	Germany	Kiel	Kiel University
198	Germany	Leipzig
199	Germany	Leipzig	Leipzig University
200	Germany	Mannheim-Rheinau
201	Germany	Mannheim-Rheinau	I.G. Farbenindustrie A.G.
202	Germany	Marburg
203	Germany	Marburg	Marburg University
204	Germany	Member of Parliament
205	Germany	Munich
206	Germany	Munich	Munich University
207	Germany	Munich	Technische Hochschule
208	Germany	Munster
209	Germany	Munster	Munster University
210	Germany	Würzburg
211	Germany	Würzburg	Würzburg University
212	Germany	ex-Lord High Chancellor
213	Hungary
214	Hungary	Szeged
215	Hungary	Szeged	Szeged University
216	India
217	India	Calcutta
218	India	Calcutta	Calcutta University
219	India	Calcutta	Missionaries of Charity
220	India	Calcutta	Missionaries of Charity	Leader
221	Inter-Parliamentary Union
222	Inter-Parliamentary Union	Secretary General
223	International Arbitration League
224	International Arbitration League	Secretary
225	International Committee of the European Council
226	International Committee of the European Council	President
227	International Confederation of Free Trade Unions
228	International Confederation of Free Trade Unions	Vice President
229	International Conferences of Private Law at the Hague
230	International Conferences of Private Law at the Hague	Originator
231	International Missionary Council
232	International Missionary Council	Chairman
233	International Peace Campaign
234	International Peace Campaign	Founder and President
235	Ireland
236	Ireland	Dublin
237	Ireland	Dublin	Trinity College
238	Israel
239	Israel	Haifa
240	Israel	Haifa	Technion -- Israel Institute of Technology
241	Israel	Prime Minister
242	Italy
243	Italy	Milan
244	Italy	Milan	Institute of Technology
245	Italy	Pavia
246	Italy	Pavia	Pavia University
247	Italy	Rome
248	Italy	Rome	Institute of Cell Biology of the C.N.R
249	Italy	Rome	Istituto Superiore di Sanità
250	Italy	Rome	Rome University
251	Italy	Trieste
252	Italy	Trieste	International Centre for Theoretical Physics
253	Japan
254	Japan	Kyoto
255	Japan	Kyoto	Kyoto Imperial University
256	Japan	Kyoto	Kyoto University
257	Japan	Nagoya
258	Japan	Nagoya	Nagoya University
259	Japan	Prime Minister
260	Japan	Tokyo
261	Japan	Tokyo	Tokyo University of Education
262	Japan	Tokyo	University of Tokyo
263	Japan	Tokyo	University of Tsukuba
264	L'Europe du Coeur au Service du Monde
265	L'Europe du Coeur au Service du Monde	Leader
266	Lambaréné
267	Lambaréné	Founder
268	League of Nations
269	League of Nations	Assembly
270	League of Nations	Assembly	President
271	League of Nations	Council
272	League of Nations	Council	Delegate
273	League of Nations	Council	President
274	League of Nations	Delegate
275	League of Nations	Executive Committee
276	League of Nations	Executive Committee	Member
277	League of Nations	Founder
278	Ligue des Droits de l'Homme
279	Ligue des Droits de l'Homme	Founder and President
280	Locarno Pact
281	Locarno Pact	Part-originator
282	Lombard League of Peace
283	Lombard League of Peace	President
284	Marshall Plan
285	Marshall Plan	Originator
286	Mexico
287	Mexico	Mexico City
288	Mexico	Mexico City	International Maize and Wheat Improvement Center
289	Mexico	former Secretary for Foreign Affairs
290	Nansen passports
291	Nansen passports	Originator
292	National Peace Council
293	National Peace Council	Member
294	National Peace Council	President
295	Northern Ireland Peace Movement
296	Northern Ireland Peace Movement	Founder
297	Norway
298	Norway	Oslo
299	Norway	Oslo	University of Oslo
300	Palestinian National Authority
301	Palestinian National Authority	President
302	Portugal
303	Portugal	Lisbon
304	Portugal	Lisbon	Neurological Institute
305	Portugal	Lisbon	University of Lisbon
306	President's Commission on the Holocaust
307	President's Commission on the Holocaust	Chairman
308	Privy Council
309	Privy Council	Member
310	Russia
311	Russia	Moscow
312	Russia	Moscow	P.N. Lebedev Physical Institute
313	Russia	St. Petersburg
314	Russia	St. Petersburg	Military Medical Academy
315	Social Democratic and Labour Party
316	Social Democratic and Labour Party	Leader
317	Société française pour l'arbitrage entre nations
318	Société française pour l'arbitrage entre nations	Founder and President
319	Solidarnosc
320	Solidarnosc	Leader
321	South Africa
322	South Africa	African National Congress
323	South Africa	African National Congress	President
324	South Africa	Johannesburg
325	South Africa	Johannesburg	Bishop
326	South African Council of Churches
327	South African Council of Churches	former Secretary General
328	South Korea
329	South Korea	President
330	Southern Christian Leadership Conference
331	Southern Christian Leadership Conference	Leader
332	Spain
333	Spain	Madrid
334	Spain	Madrid	Madrid University
335	Sweden
336	Sweden	Former Member of Parliament
337	Sweden	Gothenburg
338	Sweden	Gothenburg	Göteborg University
339	Sweden	Lidingö-Stockholm
340	Sweden	Lidingö-Stockholm	Swedish Gas-Accumulator Co.
341	Sweden	Prime Minister
342	Sweden	Stockholm
343	Sweden	Stockholm	Karolinska Institutet
344	Sweden	Stockholm	Nobel Medical Institute
345	Sweden	Stockholm	Royal Institute of Technology
346	Sweden	Stockholm	Stockholm School of Economics
347	Sweden	Stockholm	Stockholm University
348	Sweden	Uppsala
349	Sweden	Uppsala	Uppsala University
350	Sweden	former Cabinet Minister
351	Swedish Peace and Arbitration League
352	Swedish Peace and Arbitration League	Founder
353	Switzerland
354	Switzerland	Basel
355	Switzerland	Basel	Basel Institute for Immunology
356	Switzerland	Basel	Basel University
357	Switzerland	Basel	Biozentrum der Universität
358	Switzerland	Basel	Laboratorium der Farben-Fabriken J.R. Geigy A.G.
359	Switzerland	Berne
360	Switzerland	Berne	Berne University
361	Switzerland	Berne	Permanent International Peace Bureau
362	Switzerland	Berne	Permanent International Peace Bureau	Honorary President
363	Switzerland	Berne	Permanent International Peace Bureau	Honorary Secretary
364	Switzerland	Berne	Permanent International Peace Bureau	President
365	Switzerland	Geneva
366	Switzerland	Geneva	CERN
367	Switzerland	Geneva	International Committee of the Red Cross
368	Switzerland	Geneva	International Committee of the Red Cross	Founder
369	Switzerland	Geneva	International Peace Bureau
370	Switzerland	Geneva	International Peace Bureau	President
371	Switzerland	Rüschlikon
372	Switzerland	Rüschlikon	IBM Zurich Research Laboratory
373	Switzerland	Zurich
374	Switzerland	Zurich	Eidgenössische Technische Hochschule
375	Switzerland	Zurich	University of Zurich
376	Switzerland	Zurich	University of Zurich	Institute of Experimental Immunology
377	Trade Union Confederation "C.G.T. Force Ouvrière"
378	Trade Union Confederation "C.G.T. Force Ouvrière"	President
379	Tunis
380	Tunis	Institut Pasteur
381	USSR
382	USSR	Moscow
383	USSR	Moscow	Academy of Sciences
384	USSR	Moscow	Institute for Chemical Physics of the Academy of Sciences of the USSR
385	USSR	Moscow	P.N. Lebedev Physical Institute
386	USSR	Moscow	University of Moscow
387	USSR	President
388	Ulster Unionist Party
389	Ulster Unionist Party	Leader
390	United Kingdom
391	United Kingdom	Beckenham
392	United Kingdom	Beckenham	The Wellcome Research Laboratories
393	United Kingdom	Berkshire
394	United Kingdom	Berkshire	Harwell
395	United Kingdom	Berkshire	Harwell	Atomic Energy Research Establishment
396	United Kingdom	Birmingham
397	United Kingdom	Birmingham	Birmingham University
398	United Kingdom	Bodmin
399	United Kingdom	Bodmin	Glynn Research Laboratories
400	United Kingdom	Brighton
401	United Kingdom	Brighton	University of Sussex
402	United Kingdom	Bristol
403	United Kingdom	Bristol	Bristol University
404	United Kingdom	Cambridge
405	United Kingdom	Cambridge	Institute of Physical Chemistry
406	United Kingdom	Cambridge	MRC Laboratory of Molecular Biology
407	United Kingdom	Cambridge	The Wellcome Trust Sanger Institute
408	United Kingdom	Cambridge	Trinity College
409	United Kingdom	Cambridge	University of Cambridge
410	United Kingdom	Edinburgh
411	United Kingdom	Edinburgh	Edinburgh University
412	United Kingdom	Foreign Secretary
413	United Kingdom	Liverpool
414	United Kingdom	Liverpool	Liverpool University
415	United Kingdom	Liverpool	University College
416	United Kingdom	London
417	United Kingdom	London	Department of Scientific and Industrial Research
418	United Kingdom	London	EMI
419	United Kingdom	London	EMI	Central Research Laboratories
420	United Kingdom	London	Imperial Cancer Research Fund
421	United Kingdom	London	Imperial College
422	United Kingdom	London	London University
423	United Kingdom	London	London University	King's College Hospital Medical School
424	United Kingdom	London	Marconi Wireless Telegraph Co. Ltd.
425	United Kingdom	London	National Institute for Medical Research
426	United Kingdom	London	Royal Institution of Great Britain
427	United Kingdom	London	University College
428	United Kingdom	Manchester
429	United Kingdom	Manchester	Victoria University
430	United Kingdom	Member of Parliament
431	United Kingdom	Nottingham
432	United Kingdom	Nottingham	University of Nottingham
433	United Kingdom	Nottingham	University of Nottingham	School of Physics and Astronomy
434	United Kingdom	Oxford
435	United Kingdom	Oxford	All Souls College
436	United Kingdom	Oxford	Royal Society
437	United Kingdom	Oxford	Royal Society	University of Oxford
438	United Kingdom	Oxford	University of Oxford
439	United Kingdom	Scotland
440	United Kingdom	Scotland	Bucksburn
441	United Kingdom	Scotland	Bucksburn	Rowett Research Institute
442	United Kingdom	Sheffield
443	United Kingdom	Sheffield	Sheffield University
444	United Kingdom	ex-Foreign Secretary
445	United Kingdom	i.a. ex-Lord Privy Seal
446	United Kingdon
447	United Kingdon	Member of Parliament
448	United Nations
449	United Nations	Commission of Namibia
450	United Nations	Commission of Namibia	President
451	United Nations	Delegate
452	United Nations	General Assembly
453	United Nations	General Assembly	former President
454	United Nations	General Assembly on Disarmament
455	United Nations	General Assembly on Disarmament	Delegate
456	United Nations	Prominent participant in originating
457	United Nations	Secretary-General
458	United Nations	division of Trusteeship
459	United Nations	division of Trusteeship	Director
460	United States of America
461	United States of America	American Red Cross
462	United States of America	American Red Cross	General President
463	United States of America	Arizona
464	United States of America	Arizona	Tempe
465	United States of America	Arizona	Tempe	Arizona State University
466	United States of America	California
467	United States of America	California	Berkeley
468	United States of America	California	Berkeley	The Molecular Sciences Institute
469	United States of America	California	Berkeley	University of California
470	United States of America	California	Irvine
471	United States of America	California	Irvine	University of California
472	United States of America	California	La Jolla
473	United States of America	California	La Jolla	The Scripps Research Institute
474	United States of America	California	La Jolla	University of California
475	United States of America	California	Los Angeles
476	United States of America	California	Los Angeles	University of California
477	United States of America	California	Los Angeles	University of California	School of Medicine
478	United States of America	California	Los Angeles	University of Southern California
479	United States of America	California	Mountain View
480	United States of America	California	Mountain View	Digital Pathways
481	United States of America	California	Mountain View	Semiconductor Laboratory of Beckman Instruments
482	United States of America	California	Pasadena
483	United States of America	California	Pasadena	California Institute of Technology
484	United States of America	California	San Diego
485	United States of America	California	San Diego	The Salk Institute
486	United States of America	California	San Diego	University of California
487	United States of America	California	San Francisco
488	United States of America	California	San Francisco	University of California
489	United States of America	California	San Francisco	University of California	School of Medicine
490	United States of America	California	Santa Barbara
491	United States of America	California	Santa Barbara	University of California
492	United States of America	California	Santa Barbara	University of California	Kavli Institute for Theoretical Physics
493	United States of America	California	Stanford
494	United States of America	California	Stanford	Stanford Linear Accelerator Center
495	United States of America	California	Stanford	Stanford University
496	United States of America	Colorado
497	United States of America	Colorado	Boulder
498	United States of America	Colorado	Boulder	University of Colorado
499	United States of America	Colorado	Boulder	University of Colorado	JILA
500	United States of America	Connecticut
501	United States of America	Connecticut	Greenwich
502	United States of America	Connecticut	Greenwich	Long Term Capital Management
503	United States of America	Connecticut	New Haven
504	United States of America	Connecticut	New Haven	Yale University
505	United States of America	Connecticut	New Haven	Yale University	School of Medicine
506	United States of America	Delaware
507	United States of America	Delaware	Wilmington
508	United States of America	Delaware	Wilmington	Du Pont
509	United States of America	District of Columbia
510	United States of America	District of Columbia	Washington
511	United States of America	District of Columbia	Washington	Associated Universities Inc.
512	United States of America	District of Columbia	Washington	US Naval Research Laboratory
513	United States of America	Illinois
514	United States of America	Illinois	Argonne
515	United States of America	Illinois	Argonne	Argonne National Laboratory
516	United States of America	Illinois	Batavia
517	United States of America	Illinois	Batavia	Fermi National Accelerator Laboratory
518	United States of America	Illinois	Chicago
519	United States of America	Illinois	Chicago	University of Chicago
520	United States of America	Illinois	Chicago	University of Chicago	Ben May Laboratory for Cancer Research
521	United States of America	Illinois	Evanston
522	United States of America	Illinois	Evanston	Northwestern University
523	United States of America	Illinois	Urbana
524	United States of America	Illinois	Urbana	University of Illinois
525	United States of America	Indiana
526	United States of America	Indiana	Bloomington
527	United States of America	Indiana	Bloomington	Indiana University
528	United States of America	Indiana	West Lafayette
529	United States of America	Indiana	West Lafayette	Purdue University
530	United States of America	Louisiana
531	United States of America	Louisiana	New Orleans
532	United States of America	Louisiana	New Orleans	Veterans Administration Hospital
533	United States of America	Maine
534	United States of America	Maine	Bar Harbor
535	United States of America	Maine	Bar Harbor	Jackson Laboratory
536	United States of America	Maryland
537	United States of America	Maryland	Baltimore
538	United States of America	Maryland	Baltimore	Johns Hopkins University
539	United States of America	Maryland	Baltimore	Johns Hopkins University	School of Medicine
540	United States of America	Maryland	Bethesda
541	United States of America	Maryland	Bethesda	National Institutes of Health
542	United States of America	Maryland	Chevy Chase
543	United States of America	Maryland	Chevy Chase	Howard Hughes Medical Institute
544	United States of America	Maryland	Gaithersburg
545	United States of America	Maryland	Gaithersburg	National Institute of Standards and Technology
546	United States of America	Massachusetts
547	United States of America	Massachusetts	Beverly
548	United States of America	Massachusetts	Beverly	New England Biolabs
549	United States of America	Massachusetts	Boston
550	United States of America	Massachusetts	Boston	Brigham and Women's Hospital
551	United States of America	Massachusetts	Boston	Children's Medical Center
552	United States of America	Massachusetts	Boston	Children's Medical Center	Research Division of Infectious Diseases
553	United States of America	Massachusetts	Boston	Harvard Medical School
554	United States of America	Massachusetts	Boston	Massachusetts General Hospital
555	United States of America	Massachusetts	Boston	Peter Brent Brigham Hospital
556	United States of America	Massachusetts	Cambridge
557	United States of America	Massachusetts	Cambridge	Biological Laboratories
558	United States of America	Massachusetts	Cambridge	Biological Laboratories	Harvard University
559	United States of America	Massachusetts	Cambridge	Center for Cancer Research
560	United States of America	Massachusetts	Cambridge	Center for Cancer Research	Massachusetts Institute of Technology
561	United States of America	Massachusetts	Cambridge	Harvard University
562	United States of America	Massachusetts	Cambridge	Harvard University	Professor
563	United States of America	Massachusetts	Cambridge	Lyman Laboratory
564	United States of America	Massachusetts	Cambridge	Lyman Laboratory	Harvard University
565	United States of America	Massachusetts	Cambridge	Massachusetts Institute of Technology
566	United States of America	Massachusetts	Medford
567	United States of America	Massachusetts	Medford	Tufts University
568	United States of America	Minnesota
569	United States of America	Minnesota	Minneapolis
570	United States of America	Minnesota	Minneapolis	Federal Reserve Bank of Minneapolis
571	United States of America	Minnesota	Rochester
572	United States of America	Minnesota	Rochester	Mayo Clinic
573	United States of America	Missouri
574	United States of America	Missouri	St. Louis
575	United States of America	Missouri	St. Louis	Saint Louis University
576	United States of America	Missouri	St. Louis	Washington University
577	United States of America	New Jersey
578	United States of America	New Jersey	Holmdel
579	United States of America	New Jersey	Holmdel	Bell Laboratories
580	United States of America	New Jersey	Murray Hill
581	United States of America	New Jersey	Murray Hill	Bell Telephone Laboratories
582	United States of America	New Jersey	New Brunswick
583	United States of America	New Jersey	New Brunswick	Rutgers University
584	United States of America	New Jersey	Princeton
585	United States of America	New Jersey	Princeton	Institute for Advanced Study
586	United States of America	New Jersey	Princeton	Princeton University
587	United States of America	New Jersey	Princeton	Rockefeller Institute for Medical Research
588	United States of America	New York
589	United States of America	New York	Bronx
590	United States of America	New York	Bronx	Veterans Administration Hospital
591	United States of America	New York	Brooklyn
592	United States of America	New York	Brooklyn	SUNY
593	United States of America	New York	Brooklyn	SUNY	Health Science Center
594	United States of America	New York	Buffalo
595	United States of America	New York	Buffalo	The Medical Foundation of Buffalo
596	United States of America	New York	Cold Spring Harbor
597	United States of America	New York	Cold Spring Harbor	Cold Spring Harbor Laboratory
598	United States of America	New York	Ithaca
599	United States of America	New York	Ithaca	Cornell University
600	United States of America	New York	New York
601	United States of America	New York	New York	Bell Telephone Laboratories
602	United States of America	New York	New York	Bellevue Hospital
603	United States of America	New York	New York	Bellevue Hospital	Cardio-Pulmonary Laboratory
604	United States of America	New York	New York	Bellevue Hospital	Cardio-Pulmonary Laboratory	Columbia University Division
605	United States of America	New York	New York	City University of New York
606	United States of America	New York	New York	College of Medicine
607	United States of America	New York	New York	College of Medicine	New York University
608	United States of America	New York	New York	Columbia University
609	United States of America	New York	New York	Columbia University	President
610	United States of America	New York	New York	Long Island
611	United States of America	New York	New York	Long Island	Carnegie Institution of Washington
612	United States of America	New York	New York	New York University
613	United States of America	New York	New York	Rockefeller Foundation
614	United States of America	New York	New York	Rockefeller Foundation	Laboratories of the Division of Medicine and Public Health
615	United States of America	New York	New York	Rockefeller Institute for Medical Research
616	United States of America	New York	New York	Rockefeller University
617	United States of America	New York	Rochester
618	United States of America	New York	Rochester	Rochester University
619	United States of America	New York	Schenectady
620	United States of America	New York	Schenectady	General Electric Company
621	United States of America	New York	Yorktown Heights
622	United States of America	New York	Yorktown Heights	IBM Thomas J. Watson Research Center
623	United States of America	North Carolina
624	United States of America	North Carolina	Research Triangle Park
625	United States of America	North Carolina	Research Triangle Park	National Institute of Environmental Health Sciences
626	United States of America	North Carolina	Research Triangle Park	Wellcome Research Laboratories
627	United States of America	Ohio
628	United States of America	Ohio	Cleveland
629	United States of America	Ohio	Cleveland	Western Reserve University
630	United States of America	Pennsylvania
631	United States of America	Pennsylvania	Philadelphia
632	United States of America	Pennsylvania	Philadelphia	The Institute for Cancer Research
633	United States of America	Pennsylvania	Philadelphia	University of Pennsylvania
634	United States of America	Pennsylvania	Pittsburgh
635	United States of America	Pennsylvania	Pittsburgh	Carnegie Institute of Technology
636	United States of America	Pennsylvania	Pittsburgh	Carnegie Mellon University
637	United States of America	President
638	United States of America	Rhode Island
639	United States of America	Rhode Island	Providence
640	United States of America	Rhode Island	Providence	Brown University
641	United States of America	Secretary of State
642	United States of America	Tennessee
643	United States of America	Tennessee	Memphis
644	United States of America	Tennessee	Memphis	St. Jude Children's Research Hospital
645	United States of America	Tennessee	Nashville
646	United States of America	Tennessee	Nashville	Vanderbilt University
647	United States of America	Tennessee	Nashville	Vanderbilt University	School of Medicine
648	United States of America	Texas
649	United States of America	Texas	Austin
650	United States of America	Texas	Austin	University of Texas
651	United States of America	Texas	Dallas
652	United States of America	Texas	Dallas	University of Texas
653	United States of America	Texas	Dallas	University of Texas	Southwestern Medical Center
654	United States of America	Texas	Houston
655	United States of America	Texas	Houston	Rice University
656	United States of America	Texas	Houston	University of Texas
657	United States of America	Texas	Houston	University of Texas	Medical School
658	United States of America	Vice-President
659	United States of America	Virginia
660	United States of America	Virginia	Fairfax
661	United States of America	Virginia	Fairfax	Center for Study of Public Choice
662	United States of America	Virginia	Fairfax	George Mason University
663	United States of America	Washington
664	United States of America	Washington	Seattle
665	United States of America	Washington	Seattle	Fred Hutchinson Cancer Research Center
666	United States of America	Washington	Seattle	University of Washington
667	United States of America	Wisconsin
668	United States of America	Wisconsin	Madison
669	United States of America	Wisconsin	Madison	University of Wisconsin
670	United States of America	ex-Secretary of Defense
671	United States of America	ex-Secretary of State
672	Women's International League for Peace and Freedom
673	Women's International League for Peace and Freedom	Honorary International President
674	Women's International League for Peace and Freedom	International President
675	World Alliance of Young Men's Christian Associations
676	World Alliance of Young Men's Christian Associations	President
677	World Union of Peace Organizations
678	World Union of Peace Organizations	President
679	the Netherlands
680	the Netherlands	Amsterdam
681	the Netherlands	Amsterdam	Amsterdam University
682	the Netherlands	Bilthoven
683	the Netherlands	Groningen
684	the Netherlands	Groningen	Groningen University
685	the Netherlands	Leiden
686	the Netherlands	Leiden	Leiden University
687	the Netherlands	Prime Minister
688	the Netherlands	Rotterdam
689	the Netherlands	Rotterdam	The Netherlands School of Economics
690	the Netherlands	Utrecht
691	the Netherlands	Utrecht	Utrecht University
